,SIG_CD,POP
0,11010,5.189698846
1,11020,4.961262724
2,11030,5.292106089
3,11040,6.061076738
4,11050,4.993716764
5,11060,5.144699203
6,11070,5.893104735
7,11080,6.487652852
8,11090,5.628114366
9,11100,7.652400362
10,11110,7.876979467
11,11120,6.912816068
12,11130,5.863321544
13,11140,5.175039269
14,11150,9.383785328
15,11160,5.521614777
16,11170,7.189887583
17,11180,4.892040057
18,11190,5.432587004
19,11200,5.385820958
20,11210,3.415614063
21,11220,8.197261739
22,11230,6.797442205
23,11240,7.708680417
24,11250,7.508618958
25,21010,3.556794606
26,21020,5.217200876
27,21030,4.890039841
28,21040,5.70052394
29,21050,5.254078206
30,21060,7.865230697
31,21070,6.685197658
32,21080,7.690246965
33,21090,7.615720083
34,21100,6.722428061
35,21110,5.74005198
36,21120,8.554067726
37,21130,6.901053723
38,21140,5.259303944
39,21150,6.00144999
40,21310,8.18024564
41,22010,4.745729505
42,22020,6.527741834
43,22030,5.791058756
44,22040,4.33122856
45,22050,6.877865105
46,22060,8.85418225
47,22070,7.299563424
48,22310,8.981538981
49,23010,5.535945073
50,23020,7.205707196
51,23040,10.67569441
52,23050,7.611132609
53,23060,7.955008462
54,23070,8.352814982
55,23080,9.539326581
56,23090,6.425392306
57,23310,7.277309083
58,23320,4.196482848
59,24010,5.121660217
60,24020,6.01760423
61,24030,7.169914107
62,24040,6.31417491
63,24050,7.90854882
64,25010,5.203085989
65,25020,6.25667225
66,25030,5.898827071
67,25040,6.051009373
68,25050,6.398615486
69,26010,7.551463262
70,26020,7.070483981
71,26030,8.273459309
72,26040,10.87556448
73,26310,8.160621195
74,29010,7.566879611
75,31010,7.188144147
76,31011,7.918798761
77,31012,7.668415075
78,31013,5.59222401
79,31014,7.387187817
80,31020,7.207823766
81,31021,5.609825585
82,31022,6.105994657
83,31023,9.363601134
84,31030,7.654355869
85,31040,9.576910817
86,31041,8.382263214
87,31042,10.76784072
88,31050,8.728285462
89,31060,10.16683967
90,31070,6.704741673
91,31080,6.729235168
92,31090,7.876719722
93,31091,7.380211942
94,31092,8.460769507
95,31100,8.796061221
96,31101,7.967314101
97,31103,8.170921167
98,31104,11.80174154
99,31110,14.65482132
100,31120,8.958010996
101,31130,10.87868347
102,31140,7.002540122
103,31150,8.559283533
104,31160,8.882954018
105,31170,11.07015692
106,31180,8.060839322
107,31190,10.41860374
108,31191,8.071055476
109,31192,10.69909923
110,31193,12.76080106
111,31200,9.211919287
112,31210,8.135245461
113,31220,7.028705232
114,31230,9.84861668
115,31240,8.339275003
116,31250,9.815788159
117,31260,9.23092995
118,31270,6.160006027
119,31280,7.489374301
120,31350,6.062848752
121,31370,5.9375
122,31380,7.038820343
123,32010,6.295483344
124,32020,6.182038752
125,32030,5.739042284
126,32040,6.52764613
127,32050,5.544011339
128,32060,5.766429081
129,32070,5.421571935
130,32310,5.940517398
131,32320,6.44319977
132,32330,5.030901651
133,32340,5.239507176
134,32350,5.159164733
135,32360,7.844613918
136,32370,5.970603814
137,32380,6.948281615
138,32390,6.314875358
139,32400,5.704942166
140,32410,5.222331433
141,33020,5.892329538
142,33030,6.037865111
143,33040,6.487029719
144,33041,8.003259643
145,33042,6.129838964
146,33043,6.125452514
147,33044,6.212303076
148,33320,5.449306297
149,33330,6.941304034
150,33340,5.614172219
151,33350,6.665760481
152,33360,5.063579173
153,33370,5.968228106
154,33380,5.262676476
155,33390,5.924102242
156,34010,6.36343539
157,34011,6.407685471
158,34012,6.33448603
159,34020,5.838132467
160,34030,6.184620314
161,34040,7.259439148
162,34050,6.790056092
163,34060,6.139764607
164,34070,9.859600186
165,34080,6.266407994
166,34310,5.796990818
167,34330,5.903120499
168,34340,5.712357217
169,34350,5.755366467
170,34360,6.661289252
171,34370,6.132340053
172,34380,5.48111332
173,35010,6.559722592
174,35011,6.301204147
175,35012,6.850439514
176,35020,6.339837244
177,35030,6.258302083
178,35040,5.906360828
179,35050,5.970093606
180,35060,5.974431385
181,35310,6.537734547
182,35320,5.491028128
183,35330,5.311100524
184,35340,5.567101973
185,35350,4.801926782
186,35360,5.857043559
187,35370,5.539267016
188,35380,5.554226756
189,36010,6.243426102
190,36020,7.042944946
191,36030,7.463380513
192,36040,5.777089939
193,36060,7.738969028
194,36310,6.97821909
195,36320,4.646759178
196,36330,5.146634081
197,36350,4.571896444
198,36360,4.772715302
199,36370,6.241861436
200,36380,5.034875019
201,36390,5.032938919
202,36400,5.532292406
203,36410,5.574626127
204,36420,6.676243094
205,36430,5.223520949
206,36440,5.877383222
207,36450,6.746983914
208,36460,5.843995511
209,36470,5.196588869
210,36480,4.762622036
211,37010,6.96436535
212,37011,6.492471644
213,37012,7.419297086
214,37020,6.068567422
215,37030,6.254735408
216,37040,5.473217105
217,37050,6.613505956
218,37060,6.095160903
219,37070,5.572434214
220,37080,5.573974405
221,37090,5.760665529
222,37100,6.123339894
223,37310,4.654494982
224,37320,4.690261143
225,37330,4.6346
226,37340,4.809598494
227,37350,4.564346997
228,37360,5.21215671
229,37370,5.776542737
230,37380,5.807648564
231,37390,6.565423533
232,37400,5.940213834
233,37410,5.157234957
234,37420,5.158154675
235,37430,4.294300518
236,38030,6.496789712
237,38050,6.414580726
238,38060,6.264680607
239,38070,8.63011085
240,38080,5.479231848
241,38090,7.784699382
242,38100,7.76979653
243,38110,7.402251068
244,38111,7.358528657
245,38112,8.145095188
246,38113,6.50562736
247,38114,7.532893118
248,38115,7.41433526
249,38310,4.463623395
250,38320,6.496876952
251,38330,5.456941351
252,38340,5.601716539
253,38350,5.029937888
254,38360,5.120031076
255,38370,4.966096564
256,38380,5.025394168
257,38390,5.942099403
258,38400,4.489471326
259,39010,7.466472699
260,39020,7.008824212
